ticket_id,org_id,requester_email,subject,category,priority,status,created_date,resolved_date,resolution_days,satisfaction,assigned_agent,reopened
TKT-00221,551989,camila@company012.com,Issue with data export,Bug,Low,In Progress,2024-06-25,,,4,Agente B,False
TKT-00222,551989,joao@company012.com,Issue with report,Integration,Medium,Open,2024-10-09,2024-11-07,29,5,Agente D,False
TKT-00223,551989,rafael@company012.com,Issue with performance,Billing,High,Closed,2024-10-24,,,,Agente B,False
TKT-00224,551989,camila@company012.com,Issue with data export,Performance,Low,In Progress,2025-02-28,2025-03-14,14,,Agente A,False
TKT-00225,551989,pedro@company012.com,Issue with dashboard,Onboarding,Low,Resolved,2025-02-22,2025-03-19,25,,Agente B,False
TKT-00226,551989,pedro@company012.com,Issue with dashboard,Onboarding,Low,Open,2024-07-08,2024-07-28,20,,Agente D,False
TKT-00227,551989,lucas@company012.com,Issue with data export,Onboarding,Critical,Resolved,2025-02-24,2025-03-17,21,,Agente D,True
TKT-00228,551989,fernanda@company012.com,Issue with login,Feature Request,Low,Closed,2024-08-11,2024-09-05,25,4,Agente D,False
TKT-00229,551989,carlos@company012.com,Issue with integration,Billing,High,In Progress,2024-08-28,2024-09-24,27,2,Agente A,True
TKT-00230,551989,carlos@company012.com,Issue with billing,Onboarding,High,Resolved,2024-06-26,2024-07-11,15,3,Agente D,False
TKT-00231,551989,rafael@company012.com,Issue with login,Billing,Critical,In Progress,2025-02-22,2025-02-25,3,,Agente C,False
TKT-00232,551989,maria@company012.com,Issue with login,Performance,High,Open,2024-09-25,2024-10-05,10,,Agente D,True
TKT-00241,668532,camila@company013.com.br,Issue with billing,Integration,Critical,In Progress,2024-11-11,2024-11-26,15,5,Agente B,False
TKT-00242,668532,camila@company013.com.br,Issue with report,Feature Request,Medium,In Progress,2024-06-11,2024-07-05,24,5,Agente A,False
TKT-00243,668532,fernanda@company013.com.br,Issue with performance,Billing,Medium,In Progress,2024-07-12,2024-08-10,29,,Agente B,False
TKT-00244,668532,carlos@company013.com.br,Issue with data export,Billing,High,Open,2025-02-21,,,2,Agente D,False
TKT-00245,668532,julia@company013.com.br,Issue with billing,Feature Request,Low,Resolved,2024-11-11,2024-12-04,23,,Agente B,True
TKT-00246,668532,pedro@company013.com.br,Issue with billing,Onboarding,Low,Resolved,2024-06-05,,,,Agente B,False
TKT-00247,668532,rafael@company013.com.br,Issue with integration,Bug,High,Open,2024-12-26,2024-12-27,1,4,Agente D,False
TKT-00248,668532,carlos@company013.com.br,Issue with performance,Onboarding,Low,Resolved,2025-03-04,2025-03-22,18,3,Agente A,False
TKT-00249,668532,maria@company013.com.br,Issue with integration,Onboarding,Medium,Resolved,2024-11-14,2024-11-15,1,5,Agente D,False
TKT-00250,668532,rafael@company013.com.br,Issue with integration,Performance,High,Closed,2024-12-14,2024-12-20,6,3,Agente C,False
TKT-00261,585100,fernanda@company014.com.br,Issue with login,Integration,Medium,Resolved,2024-06-11,2024-07-07,26,1,Agente D,True
TKT-00262,585100,fernanda@company014.com.br,Issue with integration,Bug,High,Closed,2024-12-26,,,1,Agente A,False
TKT-00263,585100,lucas@company014.com.br,Issue with data export,Onboarding,Medium,Closed,2024-09-19,2024-10-16,27,2,Agente C,False
TKT-00264,585100,julia@company014.com.br,Issue with report,Integration,High,Closed,2025-02-24,2025-03-12,16,5,Agente C,True
TKT-00265,585100,carlos@company014.com.br,Issue with dashboard,Feature Request,Medium,Resolved,2024-09-05,,,,Agente B,True
TKT-00266,585100,maria@company014.com.br,Issue with performance,Bug,Low,Closed,2024-07-17,2024-07-28,11,2,Agente B,False
TKT-00267,585100,fernanda@company014.com.br,Issue with login,Integration,Low,In Progress,2024-10-08,2024-11-01,24,,Agente A,True
TKT-00268,585100,maria@company014.com.br,Issue with report,Feature Request,Medium,Resolved,2025-03-02,,,,Agente A,True
TKT-00269,585100,rafael@company014.com.br,Issue with login,Bug,Medium,Open,2025-01-02,2025-01-12,10,,Agente A,False
TKT-00270,585100,julia@company014.com.br,Issue with billing,Onboarding,Low,Resolved,2024-08-08,2024-09-05,28,,Agente B,False
TKT-00271,585100,rafael@company014.com.br,Issue with login,Feature Request,Medium,Resolved,2024-09-04,,,,Agente C,True
TKT-00272,585100,camila@company014.com.br,Issue with login,Billing,High,In Progress,2024-07-01,2024-07-19,18,,Agente B,True
TKT-00273,585100,joao@company014.com.br,Issue with dashboard,Performance,Low,Open,2024-09-02,2024-09-17,15,4,Agente A,False
TKT-00301,544154,ana@company016.com.br,Issue with report,Bug,Low,Closed,2024-09-24,2024-10-17,23,5,Agente B,False
TKT-00302,544154,maria@company016.com.br,Issue with performance,Bug,Critical,Closed,2024-07-28,,,2,Agente C,False
TKT-00303,544154,rafael@company016.com.br,Issue with login,Onboarding,Low,In Progress,2024-10-18,,,,Agente A,False
TKT-00304,544154,fernanda@company016.com.br,Issue with performance,Billing,Low,Open,2024-06-25,,,1,Agente C,False
TKT-00305,544154,rafael@company016.com.br,Issue with data export,Onboarding,High,Closed,2024-08-07,,,,Agente D,True
TKT-00306,544154,joao@company016.com.br,Issue with billing,Bug,High,In Progress,2024-12-16,,,4,Agente A,False
TKT-00307,544154,carlos@company016.com.br,Issue with dashboard,Billing,Medium,Open,2025-01-29,2025-02-19,21,5,Agente D,False
TKT-00308,544154,carlos@company016.com.br,Issue with login,Integration,Critical,In Progress,2025-01-24,2025-02-18,25,5,Agente C,True
TKT-00309,544154,carlos@company016.com.br,Issue with billing,Performance,High,Closed,2024-09-29,2024-10-13,14,,Agente A,False
TKT-00310,544154,lucas@company016.com.br,Issue with integration,Onboarding,Medium,Open,2024-07-31,,,3,Agente C,True
TKT-00311,544154,lucas@company016.com.br,Issue with report,Onboarding,Low,Resolved,2024-06-27,,,5,Agente D,True
TKT-00312,544154,rafael@company016.com.br,Issue with report,Onboarding,Low,Closed,2024-10-21,2024-11-17,27,,Agente C,False
TKT-00313,544154,fernanda@company016.com.br,Issue with integration,Integration,Medium,In Progress,2024-08-31,,,,Agente A,False
TKT-00314,544154,joao@company016.com.br,Issue with dashboard,Feature Request,High,Resolved,2024-12-08,2024-12-17,9,,Agente D,True
TKT-00341,865990,carlos@company018.com.br,Issue with report,Onboarding,Medium,Resolved,2025-01-20,2025-01-27,7,,Agente D,False
TKT-00342,865990,lucas@company018.com.br,Issue with report,Billing,High,Open,2024-07-31,2024-08-22,22,3,Agente B,True
TKT-00343,865990,ana@company018.com.br,Issue with performance,Feature Request,Medium,In Progress,2024-07-08,,,3,Agente B,False
TKT-00344,865990,carlos@company018.com.br,Issue with billing,Onboarding,Medium,In Progress,2024-12-24,,,,Agente D,False
TKT-00361,163918,camila@company019.co,Issue with dashboard,Billing,Low,Resolved,2024-10-09,2024-10-11,2,,Agente B,False
TKT-00362,163918,rafael@company019.co,Issue with login,Feature Request,Critical,Open,2025-03-05,,,3,Agente D,False
TKT-00363,163918,carlos@company019.co,Issue with billing,Billing,Medium,Closed,2024-10-21,,,3,Agente C,True
TKT-00364,163918,joao@company019.co,Issue with login,Performance,Medium,In Progress,2024-10-19,2024-11-11,23,5,Agente B,True
TKT-00365,163918,camila@company019.co,Issue with integration,Billing,Medium,Closed,2024-12-16,,,2,Agente B,True
TKT-00366,163918,fernanda@company019.co,Issue with data export,Integration,Low,Open,2024-10-28,,,,Agente D,False
TKT-00367,163918,lucas@company019.co,Issue with data export,Billing,Low,Closed,2025-02-07,2025-02-14,7,2,Agente D,False
TKT-00368,163918,ana@company019.co,Issue with performance,Onboarding,Critical,In Progress,2025-03-07,2025-03-15,8,,Agente C,True
TKT-00369,163918,lucas@company019.co,Issue with integration,Feature Request,Medium,Open,2025-01-28,2025-02-01,4,,Agente A,False
TKT-00370,163918,maria@company019.co,Issue with billing,Feature Request,Low,Open,2024-06-13,2024-07-09,26,,Agente C,False
TKT-00371,163918,rafael@company019.co,Issue with performance,Bug,Low,In Progress,2025-01-19,2025-02-03,15,,Agente B,False
TKT-00372,163918,maria@company019.co,Issue with data export,Performance,Low,Open,2025-02-28,2025-03-19,19,3,Agente A,False
TKT-00373,163918,joao@company019.co,Issue with dashboard,Feature Request,High,Closed,2024-11-16,2024-12-07,21,4,Agente B,True
TKT-00374,163918,pedro@company019.co,Issue with login,Billing,Medium,In Progress,2025-02-07,,,5,Agente D,False
TKT-00375,163918,maria@company019.co,Issue with billing,Bug,Low,Open,2024-07-03,2024-07-05,2,,Agente B,False
TKT-00381,347861,ana@company020.io,Issue with performance,Onboarding,High,Open,2025-02-13,2025-03-06,21,1,Agente C,False
TKT-00382,347861,camila@company020.io,Issue with dashboard,Feature Request,Medium,Resolved,2024-11-25,2024-12-03,8,,Agente D,False
TKT-00383,347861,rafael@company020.io,Issue with report,Billing,Medium,Resolved,2024-10-28,,,3,Agente C,True
TKT-00384,347861,lucas@company020.io,Issue with integration,Performance,Low,Closed,2024-11-11,2024-11-14,3,3,Agente B,False
TKT-00401,542374,maria@company021.com,Issue with report,Billing,Medium,Open,2024-10-31,2024-11-21,21,,Agente D,False
TKT-00402,542374,lucas@company021.com,Issue with performance,Bug,Low,Resolved,2025-03-03,2025-03-31,28,5,Agente D,False
TKT-00403,542374,rafael@company021.com,Issue with dashboard,Performance,Medium,Resolved,2025-01-08,2025-01-09,1,5,Agente A,False
TKT-00404,542374,fernanda@company021.com,Issue with report,Integration,Low,In Progress,2024-10-14,2024-10-19,5,,Agente B,False
TKT-00421,214576,maria@company022.com.br,Issue with integration,Billing,Low,Open,2024-10-10,,,,Agente D,False
TKT-00422,214576,pedro@company022.com.br,Issue with integration,Billing,Medium,Resolved,2024-09-21,2024-09-24,3,2,Agente B,False
TKT-00423,214576,maria@company022.com.br,Issue with login,Bug,Medium,Resolved,2024-08-20,2024-08-21,1,5,Agente B,False
TKT-00424,214576,rafael@company022.com.br,Issue with billing,Feature Request,Medium,Closed,2025-01-12,2025-01-15,3,3,Agente C,False
TKT-00425,214576,pedro@company022.com.br,Issue with data export,Performance,High,In Progress,2024-08-24,,,4,Agente C,True
TKT-00426,214576,carlos@company022.com.br,Issue with report,Onboarding,Medium,Resolved,2025-01-14,,,,Agente B,True
TKT-00427,214576,maria@company022.com.br,Issue with login,Integration,Medium,Closed,2025-02-14,,,4,Agente C,True
TKT-00428,214576,ana@company022.com.br,Issue with dashboard,Bug,Medium,In Progress,2024-09-15,,,,Agente D,False
TKT-00441,863587,fernanda@company023.co,Issue with performance,Feature Request,Low,Closed,2024-06-26,2024-07-17,21,3,Agente D,False
TKT-00442,863587,maria@company023.co,Issue with data export,Bug,Medium,Open,2025-01-27,2025-02-17,21,2,Agente A,False
TKT-00461,884309,rafael@company024.io,Issue with data export,Performance,Medium,Closed,2024-07-26,2024-08-13,18,,Agente D,False
TKT-00462,884309,ana@company024.io,Issue with billing,Integration,Medium,In Progress,2024-11-01,,,1,Agente D,True
TKT-00463,884309,joao@company024.io,Issue with data export,Performance,Low,Open,2024-07-31,2024-08-02,2,,Agente A,False
TKT-00464,884309,lucas@company024.io,Issue with performance,Billing,Low,In Progress,2025-03-13,,,5,Agente D,False
TKT-00465,884309,julia@company024.io,Issue with dashboard,Onboarding,Low,Closed,2024-10-10,,,4,Agente A,True
TKT-00466,884309,maria@company024.io,Issue with performance,Bug,High,Open,2025-03-03,,,,Agente D,True
TKT-00467,884309,pedro@company024.io,Issue with dashboard,Billing,Critical,Closed,2024-10-17,2024-10-20,3,,Agente D,False
TKT-00468,884309,julia@company024.io,Issue with integration,Feature Request,High,In Progress,2025-03-01,2025-03-20,19,,Agente A,False
TKT-00469,884309,maria@company024.io,Issue with performance,Bug,Low,In Progress,2025-02-26,,,2,Agente B,False
TKT-00470,884309,lucas@company024.io,Issue with dashboard,Bug,Low,Resolved,2024-07-14,2024-08-04,21,,Agente A,True
TKT-00471,884309,pedro@company024.io,Issue with dashboard,Bug,High,Resolved,2024-08-14,,,3,Agente D,False
TKT-00472,884309,pedro@company024.io,Issue with dashboard,Integration,Medium,In Progress,2025-01-03,2025-01-22,19,4,Agente C,False
TKT-00473,884309,ana@company024.io,Issue with report,Billing,Low,Resolved,2024-09-24,2024-10-11,17,,Agente A,False
TKT-00481,785197,joao@company025.io,Issue with dashboard,Integration,Low,Open,2025-02-05,2025-02-08,3,,Agente C,True
TKT-00501,361941,carlos@company026.com.br,Issue with billing,Integration,High,Resolved,2024-08-27,2024-09-14,18,4,Agente C,False
TKT-00502,361941,lucas@company026.com.br,Issue with data export,Performance,High,In Progress,2025-03-07,,,,Agente B,False
TKT-00503,361941,fernanda@company026.com.br,Issue with report,Bug,Low,Closed,2025-03-17,,,,Agente A,False
TKT-00504,361941,fernanda@company026.com.br,Issue with report,Billing,Low,Resolved,2025-02-12,2025-02-25,13,,Agente C,False
TKT-00505,361941,maria@company026.com.br,Issue with data export,Performance,High,Closed,2025-02-20,2025-03-01,9,,Agente A,False
TKT-00506,361941,camila@company026.com.br,Issue with data export,Feature Request,Low,Closed,2024-11-20,2024-11-23,3,,Agente C,False
TKT-00507,361941,carlos@company026.com.br,Issue with login,Onboarding,Medium,Resolved,2024-06-01,2024-06-30,29,,Agente C,False
TKT-00508,361941,julia@company026.com.br,Issue with billing,Onboarding,Medium,Closed,2024-10-02,,,3,Agente B,False
TKT-00521,707314,camila@company027.com.br,Issue with dashboard,Integration,Medium,Closed,2024-07-09,2024-07-13,4,4,Agente D,True
TKT-00522,707314,ana@company027.com.br,Issue with integration,Onboarding,Medium,In Progress,2025-01-01,,,,Agente B,False
TKT-00523,707314,lucas@company027.com.br,Issue with login,Integration,Critical,Closed,2025-02-06,2025-02-11,5,3,Agente D,True
TKT-00524,707314,camila@company027.com.br,Issue with login,Performance,Low,In Progress,2024-08-07,2024-09-06,30,5,Agente C,False
TKT-00541,471507,rafael@company028.io,Issue with data export,Feature Request,Medium,Closed,2024-06-17,2024-07-04,17,5,Agente C,False
TKT-00542,471507,pedro@company028.io,Issue with report,Feature Request,Low,Closed,2024-12-05,,,2,Agente A,False
TKT-00543,471507,lucas@company028.io,Issue with data export,Billing,Critical,In Progress,2024-07-21,2024-08-13,23,,Agente C,False
TKT-00544,471507,pedro@company028.io,Issue with performance,Billing,Low,Closed,2024-11-29,2024-12-18,19,,Agente B,True
TKT-00545,471507,rafael@company028.io,Issue with dashboard,Feature Request,Low,Resolved,2024-09-04,2024-09-15,11,5,Agente A,False
TKT-00546,471507,carlos@company028.io,Issue with integration,Billing,Medium,Resolved,2024-11-09,,,4,Agente C,False
TKT-00547,471507,julia@company028.io,Issue with integration,Performance,Medium,Open,2024-07-20,2024-08-14,25,,Agente C,False
TKT-00548,471507,lucas@company028.io,Issue with report,Performance,Medium,Closed,2024-08-03,2024-09-01,29,,Agente C,True
TKT-00561,203198,joao@company029.com,Issue with report,Integration,Medium,Closed,2025-01-08,2025-01-17,9,1,Agente A,True
TKT-00562,203198,ana@company029.com,Issue with data export,Billing,Medium,In Progress,2025-03-17,2025-04-02,16,,Agente D,False
TKT-00563,203198,maria@company029.com,Issue with login,Integration,Low,In Progress,2024-10-31,,,1,Agente D,True
TKT-00564,203198,lucas@company029.com,Issue with performance,Billing,Medium,In Progress,2025-01-08,2025-01-22,14,5,Agente A,True
TKT-00565,203198,carlos@company029.com,Issue with login,Onboarding,Medium,Open,2024-09-28,2024-10-22,24,,Agente C,False
TKT-00566,203198,camila@company029.com,Issue with login,Billing,Medium,Open,2025-01-06,2025-01-27,21,,Agente C,False
TKT-00567,203198,maria@company029.com,Issue with data export,Performance,High,Closed,2024-08-20,2024-09-19,30,1,Agente D,True
TKT-00568,203198,camila@company029.com,Issue with billing,Onboarding,Low,Open,2025-02-01,2025-02-06,5,2,Agente A,False
TKT-00569,203198,fernanda@company029.com,Issue with dashboard,Onboarding,Critical,In Progress,2024-08-01,2024-08-31,30,,Agente D,False
TKT-00570,203198,camila@company029.com,Issue with data export,Performance,Medium,In Progress,2024-06-19,,,1,Agente B,True
TKT-00581,976638,carlos@company030.com,Issue with dashboard,Bug,Low,In Progress,2024-10-15,2024-11-06,22,1,Agente C,False
TKT-00582,976638,camila@company030.com,Issue with dashboard,Onboarding,Medium,Resolved,2024-09-28,2024-09-30,2,,Agente D,False
TKT-00583,976638,julia@company030.com,Issue with performance,Feature Request,Critical,In Progress,2024-09-16,,,,Agente B,False
TKT-00621,324130,pedro@company032.com,Issue with performance,Billing,Medium,Open,2024-11-06,,,1,Agente D,False
TKT-00622,324130,pedro@company032.com,Issue with login,Performance,Medium,In Progress,2024-11-25,2024-11-28,3,,Agente D,False
TKT-00623,324130,julia@company032.com,Issue with integration,Billing,Medium,Closed,2024-06-15,2024-06-29,14,,Agente B,False
TKT-00624,324130,maria@company032.com,Issue with performance,Billing,High,Resolved,2025-01-21,2025-02-19,29,,Agente B,False
TKT-00625,324130,pedro@company032.com,Issue with billing,Billing,High,In Progress,2024-08-11,2024-08-19,8,,Agente A,False
TKT-00626,324130,pedro@company032.com,Issue with dashboard,Bug,High,Open,2024-11-23,2024-12-13,20,,Agente C,True
TKT-00627,324130,fernanda@company032.com,Issue with report,Billing,Medium,Closed,2025-01-13,2025-01-17,4,2,Agente D,False
TKT-00641,997546,julia@company033.io,Issue with dashboard,Integration,Low,Resolved,2024-06-16,,,,Agente B,False
TKT-00661,102260,carlos@company034.io,Issue with report,Integration,Medium,Closed,2024-12-29,2025-01-05,7,,Agente A,False
TKT-00662,102260,lucas@company034.io,Issue with login,Onboarding,Low,In Progress,2024-07-29,2024-08-11,13,2,Agente D,True
TKT-00663,102260,lucas@company034.io,Issue with report,Billing,Critical,Open,2024-09-02,2024-09-25,23,,Agente A,True
TKT-00664,102260,joao@company034.io,Issue with data export,Billing,Low,Closed,2024-08-19,,,,Agente D,False
TKT-00665,102260,fernanda@company034.io,Issue with performance,Bug,Low,Closed,2025-01-25,,,,Agente A,False
TKT-00681,202664,rafael@company035.io,Issue with billing,Bug,High,Closed,2024-09-15,2024-09-16,1,,Agente D,False
TKT-00682,202664,rafael@company035.io,Issue with data export,Billing,Low,In Progress,2025-02-08,2025-02-25,17,,Agente A,False
TKT-00683,202664,joao@company035.io,Issue with report,Billing,Low,Resolved,2024-06-15,,,1,Agente A,False
TKT-00684,202664,julia@company035.io,Issue with login,Onboarding,Low,Resolved,2024-12-29,2025-01-11,13,2,Agente B,True
TKT-00701,197793,maria@company036.com,Issue with data export,Bug,Medium,Resolved,2025-02-09,,,,Agente D,False
TKT-00702,197793,julia@company036.com,Issue with login,Billing,High,Open,2024-10-23,2024-11-01,9,,Agente B,False
TKT-00703,197793,ana@company036.com,Issue with dashboard,Billing,Medium,Open,2024-08-11,2024-08-19,8,5,Agente D,True
TKT-00704,197793,joao@company036.com,Issue with report,Billing,High,Open,2024-09-28,2024-10-10,12,3,Agente B,False
TKT-00705,197793,rafael@company036.com,Issue with integration,Onboarding,Low,Open,2024-11-03,2024-12-02,29,3,Agente D,False
TKT-00706,197793,julia@company036.com,Issue with data export,Integration,Critical,Resolved,2025-03-17,2025-03-23,6,,Agente B,False
TKT-00721,159942,joao@company037.co,Issue with data export,Bug,Low,Open,2024-12-13,2025-01-05,23,,Agente C,False
TKT-00722,159942,carlos@company037.co,Issue with dashboard,Billing,High,Closed,2024-10-15,2024-10-24,9,4,Agente D,False
TKT-00723,159942,pedro@company037.co,Issue with login,Performance,Medium,In Progress,2024-09-07,,,,Agente C,False
TKT-00724,159942,joao@company037.co,Issue with report,Feature Request,Critical,Open,2024-10-26,2024-11-06,11,5,Agente C,False
TKT-00725,159942,carlos@company037.co,Issue with integration,Feature Request,Medium,Closed,2025-02-25,2025-03-05,8,,Agente C,False
TKT-00726,159942,fernanda@company037.co,Issue with login,Performance,High,Open,2025-03-06,2025-03-07,1,,Agente B,False
TKT-00727,159942,rafael@company037.co,Issue with login,Billing,High,Resolved,2024-07-28,,,,Agente A,True
TKT-00728,159942,pedro@company037.co,Issue with report,Feature Request,Low,Closed,2025-01-23,2025-02-18,26,,Agente D,False
TKT-00729,159942,pedro@company037.co,Issue with performance,Performance,Low,Resolved,2025-02-15,,,,Agente C,False
TKT-00730,159942,pedro@company037.co,Issue with report,Bug,Low,Resolved,2024-10-06,2024-10-20,14,1,Agente B,False
TKT-00731,159942,fernanda@company037.co,Issue with billing,Onboarding,Medium,In Progress,2024-08-04,,,,Agente B,False
TKT-00741,923267,julia@company038.com,Issue with data export,Billing,Low,In Progress,2024-10-06,2024-10-27,21,,Agente D,True
TKT-00742,923267,pedro@company038.com,Issue with data export,Billing,Low,In Progress,2024-08-31,2024-09-07,7,2,Agente A,True
TKT-00743,923267,maria@company038.com,Issue with billing,Bug,High,Resolved,2024-08-31,2024-09-16,16,4,Agente B,False
TKT-00744,923267,joao@company038.com,Issue with report,Billing,Medium,Closed,2025-02-27,2025-03-25,26,,Agente D,True
